"TIME","GEO","UNIT","NA_ITEM","Value"
"2009","Greece","Chain linked volumes, index 2010=100","Gross domestic product at market prices","105.8"
"2009","Greece","Current prices, million euro","Gross domestic product at market prices","237,534.2"
"2009","Greece","Chain linked volumes (2010), million euro","Gross domestic product at market prices","239,133.7"
"2009","Spain","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.8"
"2009","Spain","Current prices, million euro","Gross domestic product at market prices","1,069,323.0"
"2009","Spain","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,070,963.2"
"2009","France","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.1"
"2009","France","Current prices, million euro","Gross domestic product at market prices","1,936,422.0"
"2009","France","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,957,135.9"
"2009","Croatia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.5"
"2009","Croatia","Current prices, million euro","Gross domestic product at market prices","45,064.1"
"2009","Croatia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","45,797.0"
"2009","Italy","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.3"
"2009","Italy","Current prices, million euro","Gross domestic product at market prices","1,577,255.9"
"2009","Italy","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,584,138.4"
"2009","Cyprus","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.0"
"2009","Cyprus","Current prices, million euro","Gross domestic product at market prices","18,675.5"
"2009","Cyprus","Chain linked volumes (2010), million euro","Gross domestic product at market prices","19,026.6"
"2009","Latvia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","104.7"
"2009","Latvia","Current prices, million euro","Gross domestic product at market prices","18,807.4"
"2009","Latvia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","18,652.0"
"2009","Lithuania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.5"
"2009","Lithuania","Current prices, million euro","Gross domestic product at market prices","26,934.8"
"2009","Lithuania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","27,547.0"
"2009","Luxembourg","Chain linked volumes, index 2010=100","Gross domestic product at market prices","95.4"
"2009","Luxembourg","Current prices, million euro","Gross domestic product at market prices","36,976.5"
"2009","Luxembourg","Chain linked volumes (2010), million euro","Gross domestic product at market prices","38,313.9"
"2009","Hungary","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.3"
"2009","Hungary","Current prices, million euro","Gross domestic product at market prices","94,382.6"
"2009","Hungary","Chain linked volumes (2010), million euro","Gross domestic product at market prices","98,333.5"
"2009","Malta","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.6"
"2009","Malta","Current prices, million euro","Gross domestic product at market prices","6,138.6"
"2009","Malta","Chain linked volumes (2010), million euro","Gross domestic product at market prices","6,373.7"
"2009","Netherlands","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.7"
"2009","Netherlands","Current prices, million euro","Gross domestic product at market prices","624,842.0"
"2009","Netherlands","Chain linked volumes (2010), million euro","Gross domestic product at market prices","630,718.1"
"2009","Austria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.2"
"2009","Austria","Current prices, million euro","Gross domestic product at market prices","288,044.0"
"2009","Austria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","290,558.8"
"2009","Poland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.5"
"2009","Poland","Current prices, million euro","Gross domestic product at market prices","317,082.9"
"2009","Poland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","349,208.2"
"2009","Portugal","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.3"
"2009","Portugal","Current prices, million euro","Gross domestic product at market prices","175,416.4"
"2009","Portugal","Chain linked volumes (2010), million euro","Gross domestic product at market prices","176,543.1"
"2009","Romania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","104.1"
"2009","Romania","Current prices, million euro","Gross domestic product at market prices","125,213.9"
"2009","Romania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","130,499.9"
"2009","Slovenia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.7"
"2009","Slovenia","Current prices, million euro","Gross domestic product at market prices","36,254.9"
"2009","Slovenia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","35,881.7"
"2009","Slovakia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","94.6"
"2009","Slovakia","Current prices, million euro","Gross domestic product at market prices","64,095.5"
"2009","Slovakia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","64,408.3"
"2009","Finland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.9"
"2009","Finland","Current prices, million euro","Gross domestic product at market prices","181,747.0"
"2009","Finland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","182,334.0"
"2009","Sweden","Chain linked volumes, index 2010=100","Gross domestic product at market prices","94.2"
"2009","Sweden","Current prices, million euro","Gross domestic product at market prices","313,612.0"
"2009","Sweden","Chain linked volumes (2010), million euro","Gross domestic product at market prices","352,512.4"
"2009","United Kingdom","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.1"
"2009","United Kingdom","Current prices, million euro","Gross domestic product at market prices","1,737,000.2"
"2009","United Kingdom","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,831,686.9"
"2009","Iceland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.6"
"2009","Iceland","Current prices, million euro","Gross domestic product at market prices","9,426.4"
"2009","Iceland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,700.1"
"2009","Liechtenstein","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"2009","Liechtenstein","Current prices, million euro","Gross domestic product at market prices",":"
"2009","Liechtenstein","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":"
"2009","Norway","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.3"
"2009","Norway","Current prices, million euro","Gross domestic product at market prices","278,246.6"
"2009","Norway","Chain linked volumes (2010), million euro","Gross domestic product at market prices","321,504.4"
"2009","Switzerland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.1"
"2009","Switzerland","Current prices, million euro","Gross domestic product at market prices","390,207.3"
"2009","Switzerland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","428,227.2"
"2009","Montenegro","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.3"
"2009","Montenegro","Current prices, million euro","Gross domestic product at market prices","2,993.9"
"2009","Montenegro","Chain linked volumes (2010), million euro","Gross domestic product at market prices","3,041.9"
"2009","North Macedonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.8"
"2009","North Macedonia","Current prices, million euro","Gross domestic product at market prices","6,766.5"
"2009","North Macedonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","6,877.3"
"2009","Albania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.4"
"2009","Albania","Current prices, million euro","Gross domestic product at market prices","8,662.2"
"2009","Albania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,675.0"
"2009","Serbia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.3"
"2009","Serbia","Current prices, million euro","Gross domestic product at market prices","32,486.2"
"2009","Serbia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","31,316.9"
"2009","Turkey","Chain linked volumes, index 2010=100","Gross domestic product at market prices","92.2"
"2009","Turkey","Current prices, million euro","Gross domestic product at market prices","461,925.9"
"2009","Turkey","Chain linked volumes (2010), million euro","Gross domestic product at market prices","535,568.1"
"2009","Bosnia and Herzegovina","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.1"
"2009","Bosnia and Herzegovina","Current prices, million euro","Gross domestic product at market prices","12,679.3"
"2009","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,856.8"
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.8"
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Gross domestic product at market prices","4,069.6"
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","4,261.0"
"2010","European Union - 28 countries","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","European Union - 28 countries","Current prices, million euro","Gross domestic product at market prices","12,845,663.4"
"2010","European Union - 28 countries","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,845,663.4"
"2010","European Union - 27 countries (from 2019)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","European Union - 27 countries (from 2019)","Current prices, million euro","Gross domestic product at market prices","10,978,267.4"
"2010","European Union - 27 countries (from 2019)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,978,267.4"
"2010","European Union - 15 countries (1995-2004)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","European Union - 15 countries (1995-2004)","Current prices, million euro","Gross domestic product at market prices","11,828,487.4"
"2010","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,828,487.4"
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,474,062.8"
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,474,062.8"
"2010","Euro area (19 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,534,698.9"
"2010","Euro area (19 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,534,698.9"
"2010","Euro area (12 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,343,596.5"
"2010","Euro area (12 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,343,596.5"
"2010","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Belgium","Current prices, million euro","Gross domestic product at market prices","363,140.1"
"2010","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","363,140.1"
"2010","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Bulgaria","Current prices, million euro","Gross domestic product at market prices","38,044.1"
"2010","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","38,044.1"
"2010","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Czechia","Current prices, million euro","Gross domestic product at market prices","156,718.2"
"2010","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","156,718.2"
"2010","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Denmark","Current prices, million euro","Gross domestic product at market prices","243,165.4"
"2010","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","243,165.4"
"2010","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,564,400.0"
"2010","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,564,400.0"
"2010","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Estonia","Current prices, million euro","Gross domestic product at market prices","14,863.1"
"2010","Estonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","14,863.1"
"2010","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Ireland","Current prices, million euro","Gross domestic product at market prices","167,732.3"
"2010","Ireland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","167,732.3"
"2010","Greece","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Greece","Current prices, million euro","Gross domestic product at market prices","226,031.4"
"2010","Greece","Chain linked volumes (2010), million euro","Gross domestic product at market prices","226,031.4"
"2010","Spain","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Spain","Current prices, million euro","Gross domestic product at market prices","1,072,709.0"
"2010","Spain","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,072,709.0"
"2010","France","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","France","Current prices, million euro","Gross domestic product at market prices","1,995,289.0"
"2010","France","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,995,289.0"
"2010","Croatia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Croatia","Current prices, million euro","Gross domestic product at market prices","45,111.8"
"2010","Croatia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","45,111.8"
"2010","Italy","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Italy","Current prices, million euro","Gross domestic product at market prices","1,611,279.4"
"2010","Italy","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,611,279.4"
"2010","Cyprus","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Cyprus","Current prices, million euro","Gross domestic product at market prices","19,410.0"
"2010","Cyprus","Chain linked volumes (2010), million euro","Gross domestic product at market prices","19,410.0"
"2010","Latvia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Latvia","Current prices, million euro","Gross domestic product at market prices","17,817.7"
"2010","Latvia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","17,817.7"
"2010","Lithuania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Lithuania","Current prices, million euro","Gross domestic product at market prices","27,955.3"
"2010","Lithuania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","27,955.3"
"2010","Luxembourg","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Luxembourg","Current prices, million euro","Gross domestic product at market prices","40,177.8"
"2010","Luxembourg","Chain linked volumes (2010), million euro","Gross domestic product at market prices","40,177.8"
"2010","Hungary","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Hungary","Current prices, million euro","Gross domestic product at market prices","98,986.8"
"2010","Hungary","Chain linked volumes (2010), million euro","Gross domestic product at market prices","98,986.8"
"2010","Malta","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Malta","Current prices, million euro","Gross domestic product at market prices","6,599.5"
"2010","Malta","Chain linked volumes (2010), million euro","Gross domestic product at market prices","6,599.5"
"2010","Netherlands","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Netherlands","Current prices, million euro","Gross domestic product at market prices","639,187.0"
"2010","Netherlands","Chain linked volumes (2010), million euro","Gross domestic product at market prices","639,187.0"
"2010","Austria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Austria","Current prices, million euro","Gross domestic product at market prices","295,896.6"
"2010","Austria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","295,896.6"
"2010","Poland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Poland","Current prices, million euro","Gross domestic product at market prices","361,803.9"
"2010","Poland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","361,803.9"
"2010","Portugal","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Portugal","Current prices, million euro","Gross domestic product at market prices","179,610.8"
"2010","Portugal","Chain linked volumes (2010), million euro","Gross domestic product at market prices","179,610.8"
"2010","Romania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Romania","Current prices, million euro","Gross domestic product at market prices","125,408.8"
"2010","Romania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","125,408.8"
"2010","Slovenia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Slovenia","Current prices, million euro","Gross domestic product at market prices","36,363.9"
"2010","Slovenia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","36,363.9"
"2010","Slovakia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Slovakia","Current prices, million euro","Gross domestic product at market prices","68,093.0"
"2010","Slovakia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","68,093.0"
"2010","Finland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Finland","Current prices, million euro","Gross domestic product at market prices","188,143.0"
"2010","Finland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","188,143.0"
"2010","Sweden","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Sweden","Current prices, million euro","Gross domestic product at market prices","374,329.5"
"2010","Sweden","Chain linked volumes (2010), million euro","Gross domestic product at market prices","374,329.5"
"2010","United Kingdom","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","United Kingdom","Current prices, million euro","Gross domestic product at market prices","1,867,396.0"
"2010","United Kingdom","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,867,396.0"
"2010","Iceland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Iceland","Current prices, million euro","Gross domestic product at market prices","10,332.4"
"2010","Iceland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,332.4"
"2010","Liechtenstein","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"2010","Liechtenstein","Current prices, million euro","Gross domestic product at market prices",":"
"2010","Liechtenstein","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":"
"2010","Norway","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Norway","Current prices, million euro","Gross domestic product at market prices","323,760.9"
"2010","Norway","Chain linked volumes (2010), million euro","Gross domestic product at market prices","323,760.9"
"2010","Switzerland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Switzerland","Current prices, million euro","Gross domestic product at market prices","441,086.0"
"2010","Switzerland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","441,086.0"
"2010","Montenegro","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Montenegro","Current prices, million euro","Gross domestic product at market prices","3,125.1"
"2010","Montenegro","Chain linked volumes (2010), million euro","Gross domestic product at market prices","3,125.1"
"2010","North Macedonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","North Macedonia","Current prices, million euro","Gross domestic product at market prices","7,108.3"
"2010","North Macedonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","7,108.3"
"2010","Albania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Albania","Current prices, million euro","Gross domestic product at market prices","8,996.6"
"2010","Albania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,996.6"
"2010","Serbia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Serbia","Current prices, million euro","Gross domestic product at market prices","31,545.8"
"2010","Serbia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","31,545.8"
"2010","Turkey","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Turkey","Current prices, million euro","Gross domestic product at market prices","581,023.8"
"2010","Turkey","Chain linked volumes (2010), million euro","Gross domestic product at market prices","581,023.8"
"2010","Bosnia and Herzegovina","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Bosnia and Herzegovina","Current prices, million euro","Gross domestic product at market prices","12,968.9"
"2010","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,968.9"
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Gross domestic product at market prices","4,401.9"
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","4,401.9"
"2011","European Union - 28 countries","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.8"
"2011","European Union - 28 countries","Current prices, million euro","Gross domestic product at market prices","13,235,225.0"
"2011","European Union - 28 countries","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,075,909.7"
"2011","European Union - 27 countries (from 2019)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.8"
"2011","European Union - 27 countries (from 2019)","Current prices, million euro","Gross domestic product at market prices","11,322,767.1"
"2011","European Union - 27 countries (from 2019)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,179,753.0"
"2011","European Union - 15 countries (1995-2004)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.7"
"2011","European Union - 15 countries (1995-2004)","Current prices, million euro","Gross domestic product at market prices","12,168,229.5"
"2011","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,026,384.2"
"2011","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.7"
"2011","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,747,755.1"
"2011","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,646,919.6"
"2011","Euro area (19 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.7"
"2011","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,799,207.6"
"2011","Euro area (19 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,695,496.9"
"2011","Euro area (12 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.7"
"2011","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,596,017.9"
"2011","Euro area (12 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,498,056.2"
"2011","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.7"
"2011","Belgium","Current prices, million euro","Gross domestic product at market prices","375,967.8"
"2011","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","369,293.5"
"2011","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.4"
"2011","Bulgaria","Current prices, million euro","Gross domestic product at market prices","41,252.6"
"2011","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","38,938.5"
"2011","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.8"
"2011","Czechia","Current prices, million euro","Gross domestic product at market prices","164,040.5"
"2011","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","159,504.4"
"2011","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.3"
"2011","Denmark","Current prices, million euro","Gross domestic product at market prices","247,879.9"
"2011","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","246,416.0"
"2011","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.9"
"2011","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,693,560.0"
"2011","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,665,030.5"
"2011","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","107.4"
"2011","Estonia","Current prices, million euro","Gross domestic product at market prices","16,829.2"
"2011","Estonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","15,969.1"
"2011","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.3"
"2011","Ireland","Current prices, million euro","Gross domestic product at market prices","170,827.0"
"2011","Ireland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","168,308.4"
